NewTime,Nox v,pH,pH Filt,DO Filt,DO,NOX,NOX filt,OUR,OUR filt,acid,Hp
0.0,5.141907,7.605801,7.601692,8.949131,8.957035000000001,12.18165,12.194964,1.05809,1.148215,1.456,-3.4870472
1.000049999998737,5.138091999999999,7.605511999999999,7.602613000000001,8.938782000000002,8.954335,12.188792999999999,12.190882,1.385948,1.133313,1.458971,-3.4941625960000002
2.000110000000859,5.135803,7.604935,7.604069,8.932573,8.950806,12.178588000000001,12.189449,1.684002,1.166666,1.458971,-3.4941625960000002
2.9991700000027777,5.134583,7.604069,7.60532,8.929261,8.945957,12.171956,12.187772,1.5051700000000001,1.26105,1.458971,-3.4941625960000002
3.999229999997624,5.132904,7.602627,7.6059660000000004,8.924708,8.939847,12.169404,12.183739,1.5199200000000002,1.365232,1.461943,-3.501280388
4.999279999999999,5.132141000000001,7.6008949999999995,7.604976,8.922638000000001,8.934012,12.155629,12.179511999999999,1.505019,1.4986329999999999,1.461943,-3.501280388
5.999340000002121,5.128784,7.599164,7.603960000000001,8.913530999999999,8.928925999999999,12.150016,12.174361,1.7136360000000002,1.566043,1.461943,-3.501280388
6.999400000000605,5.127258,7.599741000000001,7.602378999999999,8.909392,8.925063,12.143892999999998,12.165322999999999,1.6689319999999999,1.5610760000000001,1.464914,-3.5083957839999997
7.999449999999342,5.126801,7.579541000000001,7.602833,8.90815,8.920115,12.13675,12.158228,1.6987349999999999,1.556819,1.464914,-3.5083957839999997
8.999510000001465,5.123138,7.578963000000001,7.598971000000001,8.898214999999999,8.915739,12.132669,12.150308,1.832845,1.6199709999999998,1.467886,-3.515513576
9.999569999999949,5.122528,7.575212,7.593062,8.896560000000001,8.910279,12.13471,12.14212,1.89245,1.683124,1.467886,-3.515513576
10.998630000001867,5.120087,7.5654,7.586645,8.889937,8.905134,12.131648,12.137917,1.758515,1.771289,1.467886,-3.515513576
11.9976800000004,5.1177980000000005,7.564823,7.5785100000000005,8.883727,8.900916,12.121444,12.135292999999999,1.758515,1.796127,1.467886,-3.515513576
12.999739999999292,5.115508999999999,7.554146,7.572285000000001,8.877517999999998,8.895553999999999,12.113791,12.132766,1.862834,1.8145779999999998,1.467886,-3.515513576
13.997800000001007,5.115508999999999,7.5411600000000005,7.569331,8.877517999999998,8.888912,12.104607000000001,12.129291,1.6989049999999999,1.833738,1.467886,-3.515513576
14.99786000000313,5.112305,7.541449000000001,7.5609210000000004,8.868825,8.884713,12.096953,12.122926,1.9373470000000002,1.774837,1.467886,-3.515513576
15.99891000000207,5.109406,7.537408999999999,7.552867999999999,8.86096,8.879588,12.13573,12.109417,1.892639,1.776256,1.467886,-3.515513576
16.998970000000554,5.1065059999999995,7.527309,7.546808,8.853095,8.874699,12.141853,12.105773,2.0267630000000003,1.8131580000000003,1.467886,-3.515513576
18.00202999999965,5.1048279999999995,7.527309,7.5391259999999996,8.848542,8.868569,12.128077000000001,12.113742,2.145985,1.855737,1.467886,-3.515513576
18.99808000000121,5.103607,7.5264429999999996,7.5342210000000005,8.84523,8.861473,12.119403,12.124505000000001,1.9075419999999998,1.9536689999999999,1.467886,-3.515513576
19.999139999999898,5.101776,7.525289,7.530964,8.840263,8.854061,12.109709,12.133155,2.0267630000000003,2.023925,1.467886,-3.515513576
20.998199999998178,5.100555,7.523269,7.527253999999999,8.836952,8.84866,12.097463000000001,12.133883,1.9073509999999998,2.032947,1.467886,-3.515513576
21.999260000000504,5.09964,7.5215369999999995,7.525453,8.834468,8.844225,12.087769,12.120642,1.7732400000000001,2.040752,1.467886,-3.515513576
22.99931000000288,5.096588,7.522403,7.524876,8.826189,8.841209,12.074504,12.108761,1.8477459999999999,1.9563119999999998,1.467886,-3.515513576
24.000370000001567,5.094147,7.519517,7.5236529999999995,8.819566,8.837385000000001,12.06532,12.098192,2.0861650000000003,1.8548419999999999,1.467886,-3.515513576
24.999429999999847,5.092926,7.518074,7.5223889999999995,8.816253999999999,8.832221,12.048482,12.087405,1.89245,1.8896119999999998,1.467886,-3.515513576
25.99848000000202,5.090179,7.517208,7.521056,8.808803,8.827096000000001,12.039297999999999,12.075232000000002,1.8775490000000001,1.8896119999999998,1.467886,-3.515513576
26.999540000000707,5.089417,7.513746,7.52008,8.806734,8.82067,12.033176,12.062623,1.6689319999999999,1.944959,1.467886,-3.515513576
27.99959999999919,5.0840760000000005,7.513746,7.518322,8.792245,8.815683,12.025522,12.050645,2.026561,1.903803,1.467886,-3.515513576
28.997660000000906,5.0851440000000006,7.514034,7.516108999999999,8.795143,8.809158,12.018379,12.040562,1.803223,1.883414,1.467886,-3.515513576
29.99771000000328,5.081787,7.514611,7.514761999999999,8.786036,8.803639,12.013786999999999,12.031597,1.95225,1.8152869999999999,1.467886,-3.515513576
30.99877000000197,5.079803,7.512303,7.514172,8.780655,8.797508,12.011236,12.025134,2.0267630000000003,1.8415439999999998,1.467886,-3.515513576
31.998830000000453,5.078278,7.513746,7.513553,8.776515,8.791772,12.004093,12.01957,2.086374,1.888381,1.467886,-3.515513576
32.99887999999919,5.0729370000000005,7.513167999999999,7.513758999999999,8.762027,8.786942999999999,11.971439,12.016849,2.309914,1.9536689999999999,1.467886,-3.515513576
33.99894000000131,5.0729370000000005,7.511437,7.513691000000001,8.762027,8.781089,11.960725,12.00871,2.071471,2.0267630000000003,1.467886,-3.515513576
35.001000000000204,5.069275,7.513746,7.512935000000001,8.752092999999999,8.773401,11.955112,11.995298,2.309914,2.1175990000000002,1.467886,-3.515513576
